PROV_CODE,PROV_NAME,PROVIDER_NETWORK,PROVIDER_PRACTICE,PROVIDER_REGION,PROVIDER_TOWN
20611,Al Yousif Hospital,L. NWS,Hospital,Eastern,Khobar
23124,Bupa Global - ASO,N14,Data Only,Overseas,London
22557,Al Azhar Optical Center,J. ONW,Optical,Central,Riyadh
22260,New Family Polyclinic,J. ONW,Polyclinic,Western,Jeddah
22477,Ibn Sina Polyclinic,J. ONW,Polyclinic,Western,Jeddah
22803,Specialist Dental Clinic,J. ONW,Dental,Southern,Khamis Mushayt
22780,Adwa Al Elaj Complex 1,J. ONW,Dental,Central,Riyadh
22873,Beauty Clinic Family of Dentistry and Orthodontics Center,J. ONW,Dental,Eastern,Dammam
22967,Dr Majed Al Metrek Medical Co,J. ONW,Dental,Central,Riyadh
22968,Waqaya Modern Medical Center,J. ONW,Polyclinic,Southern,Khamis Mushayt
22781,Shining Horizons Dental Center,J. ONW,Dental,Central,Riyadh
22799,Trust Medical Clinic,J. ONW,Clinic,Central,Riyadh
22727,Wahj Zain Polyclinic,J. ONW,Polyclinic,Central,Riyadh
22430,Al Salam Dispensary,J. ONW,Clinic,Eastern,Dammam
22901,Asaad Dental Center,J. ONW,Dental,Central,Riyadh
23060,Lulu Smile Dental Center,J. ONW,Dental,Southern,Najran
20181,Abha Private Hospital,F. NW5,Hospital,Southern,Abha
23143,Al Seef Hospital,I. SPA,Hospital,Overseas,Kuwait
22533,Mohammed Salem Nahdi Medical Services(Ex Bandar Medical Center),J. ONW,Clinic,Western,Jeddah
22274,Al Muna Medical Clinic,J. ONW,Clinic,Northern,Arar
22907,Dr Omar Medical Center,J. ONW,Clinic,Central,Riyadh
21812,General Medical Polyclinic - Sari,J. ONW,Clinic,Western,Jeddah
22187,Jarrash Medical Center - Abu Areesh,J. ONW,Polyclinic,Southern,Abu Arish
22403,Al Metrek Medical Clinic (3) - Al Hayer,J. ONW,Clinic,Central,Riyadh
22479,Al Qwaifel Clinic,J. ONW,Clinic,Central,Riyadh
22701,Quwezah Polyclinic,J. ONW,Polyclinic,Western,Jeddah
22343,Dorat Okas Polyclinic,J. ONW,Clinic,Northern,Tabuk
22878,Family Medical Polyclinic (NOT IN USE),J. ONW,Clinic,Central,Riyadh
23149,Hamad Town Pharmacy Group,D. NW3,Pharmacy,Overseas,Manama
23150,Doctors Hospital & Medical Center,D. NW3,Hospital,Overseas,Pakistan
22719,Basmah Al Multaqa Dental Clinic,J. ONW,Dental,Central,Riyadh
23160,Modern Products Company (P&G Joint Venture),K. IHC,In-house Clinic,Western,Jeddah
20265,Saleh Shakeeli General Medical Complex,L. NWS,Polyclinic,Southern,Al Sheqaiq
21779,Al Shifa Polyclinic,J. ONW,Polyclinic,Western,Jeddah
21807,Al Baraka Polyclinic - Jeddah (ex Dallah Dental Center),J. ONW,Dental,Western,Jeddah
22152,Falastine Polyclinic,J. ONW,Polyclinic,Western,Jeddah
22971,Abaad Al Barakah Medical Center,J. ONW,Polyclinic,Western,Taif
20278,Al Nisaee Dispensary,J. ONW,Clinic,Eastern,Hofuf
23167,Roaya Eye Center,B. NW1,Eye Center,Central,Riyadh
20442,Dr Al Moajjel Polyclinic & Diagnostic Center,J. ONW,Clinic,Central,Riyadh
22006,Dr Tarek Baghdadi Clinic,J. ONW,Clinic,Western,Jeddah
22114,Abad Medical Center,J. ONW,Clinic,Central,Riyadh
22373,Duba Dental Polyclinic,J. ONW,Dental,Northern,Duba
22712,Al Khazan Modern Dental Center,L. NWS,Dental,Central,Riyadh
22241,Al Bilsan Clinic,J. ONW,Clinic,Central,Riyadh
20208,Mohammed Bargas Mobarak Al Harbi Al Ahly Clinic (ex Al Bargas El Ahly Clinic),J. ONW,Clinic,Central,Afif
22301,Al Faraedi.S.A.Medical Center,J. ONW,Clinic,Central,Riyadh
22572,Dr Saud Naqshapandy Dental Clinic 3,J. ONW,Dental,Central,Riyadh
22621,Al Ekhlas Clinic,J. ONW,Clinic,Central,Riyadh
22972,Rowad Medical Polyclinic,J. ONW,Polyclinic,Western,Taif
23042,Saf Medical Center - Dental,J. ONW,Dental,Southern,Baljurashi
22186,Jarrash Medical Center - Sabya,J. ONW,Polyclinic,Southern,Sabya
23185,Shifa International Hospitals Ltd,F. NW5,Hospital,Overseas,Pakistan
22608,Dr Samia Felemban Dental And Medical Polyclinic - Madina,J. ONW,Dental,Western,Madinah
22611,International Diagnostic Center,J. ONW,Clinic,Western,Jeddah
23032,Tamayoz Clinics,J. ONW,Clinic,Western,Makkah
22613,The Moon Smile Clinics,J. ONW,Dental,Western,Jeddah
23094,Safa Al Bawadi Medical Complex,J. ONW,Polyclinic,Western,Jeddah
23132,Al Marmar Dental Center,J. ONW,Dental,Central,Riyadh
22768,Dr Sulaiman Al Habib Medical Center - Dubai,H. NW7,Hospital,Overseas,"Dubai, UAE"
22537,Durrat Al Maha Optical - Al Malaz Branch,J. ONW,Optical,Central,Riyadh
22538,Durrat Al Maha Optical - Sueidi,J. ONW,Optical,Central,Riyadh
22539,Durrat Al Maha Optical - Shmeisi,J. ONW,Optical,Central,Riyadh
22285,Hala Essa Bin Ladin Polyclinic - Makkah,J. ONW,Clinic,Western,Makkah
22622,Al Rowaily Hospital (ex Naseem Jeddah Hospital),J. ONW,Hospital,Western,Jeddah
22697,Al Hanan Medical Center,J. ONW,Clinic,Central,Riyadh
23074,Dar El Seha Clinic,J. ONW,Polyclinic,Central,Ar Russ
23131,Al Madar Dental Clinic - Hail,J. ONW,Dental,Central,Hail
23194,Asia Medical Dispensary,J. ONW,Polyclinic,Central,Riyadh
20088,Dr Suliman Al Habib Medical Center Co,H. NW7,Hospital,Central,Riyadh
22061,Buraidah Al Takhassusi Hospital for Healthcare Co,H. NW7,Hospital,Central,Bureidah
22580,Al Gharb Al Takhassusi Hospital For Healthcare Co,H. NW7,Hospital,Central,Riyadh
22678,Aliya Optical Company,L. NWS,Optical,Central,Bureidah
21965,Al Nahda Polyclinic,J. ONW,Clinic,Western,Jeddah
23210,SCHONKLINIK - Munchen Harlaching - Germany,N14,Data Only,Overseas,Germany
23211,M.R. Al Khathlan Company,K. IHC,In-house Clinic,Western,Jeddah
21699,Al Khobar National Clinic,J. ONW,Clinic,Eastern,Khobar
22337,Faisal Dispensary,J. ONW,Clinic,Eastern,Al Hasa
22777,Tanoma Al Ahlee Dispensary,J. ONW,Polyclinic,Southern,Abha
22917,Mugla Optical Centers,L. NWS,Optical,Central,Riyadh
22603,The Eye Consultants - Riyadh,H. NW7,Eye Center,Central,Riyadh
22604,The Consultants Optics Center - Riyadh,H. NW7,Optical,Central,Riyadh
22227,Veneer Dental Center,J. ONW,Dental,Western,Jeddah
23221,Median Klinik Berlin -Kladow,N14,Data Only,Overseas,Germany
22753,Photon Clinic,J. ONW,Clinic,Central,Riyadh
22089,Al Shoroq Dental Polyclinic,J. ONW,Dental,Western,Jeddah
23009,Durat Al Namothajy Clinic,J. ONW,Clinic,Central,Riyadh
23178,Al Saqr Dental Clinic - Bareq,J. ONW,Dental,Southern,Abha
22760,Lasting Smile Dental Clinics,A. NWR,Dental,Central,Riyadh
23223,CareClix,N14,Data Only,Overseas,U.S.A
22615,Optic Center Co,J. ONW,Optical,Central,Riyadh
21172,Shoa'a Medical Complex,C. NW2,Polyclinic,Central,Riyadh
23225,Dr Al Saggaf Eye Clinic & Day Surgery,D. NW3,Eye Center,Western,Jeddah
23230,International Medical Center - Egypt,I. SPA,Hospital,Overseas,Cairo
23234,Al Barakat Hearing Care Center,L. NWS,Hearing Aid,Central,Riyadh
20296,Al Shefa Medical Polyclinic(ExAl Shifa Polyclinic - Tabuk),J. ONW,Polyclinic,Northern,Tabuk
20177,Al Moosa Hospital,G. NW6,Hospital,Eastern,Al Hasa
22468,Nees Dentel Center,J. ONW,Dental,Southern,Al Baha
20286,Rafha'a Elshefa'a Polyclinic,J. ONW,Clinic,Northern,Rafha'a
23236,Shifa Al Darb Polyclinic,L. NWS,Polyclinic,Southern,Al Darb
23053,Al Razi Dental Polyclinic 2,J. ONW,Dental,Northern,Tabuk
23237,Kahhal Medical Complex - Al Ahsa,E. NW4,Polyclinic,Eastern,Al Hasa
20044,Tala Medical Clinics,E. NW4,Polyclinic,Western,Jeddah
23239,Salamat Hospital,D. NW3,Hospital,Central,Hail
22009,Dummy,A. NWR,Polyclinic,Western,Jeddah
22119,Al Kindi Specialised Hospital,J. ONW,Hospital,Overseas,Manama
22620,Al Abeer Optical ( Not in use),J. ONW,Optical,Western,Jeddah
21711,Anmar AlKhaleg Medical Polyclinic,J. ONW,Clinic,Northern,Duba
22472,Al Kamal Polyclinic,J. ONW,Polyclinic,Western,Jeddah
22682,Manarat Medical Clinics,J. ONW,Polyclinic,Central,Riyadh
23121,Dr Abdullah Al Mozher Dental Clinic - Al Hofuf,J. ONW,Dental,Eastern,Hofuf
21888,Dr Abdelfatah Al Hourani Cinic,J. ONW,Clinic,Central,Riyadh
22042,Orthopaedic Speciality Clinics,J. ONW,Clinic,Western,Jeddah
23257,Mujtama Modern Pharmacy,F. NW5,Pharmacy,Western,Jeddah
23258,INTERNATIONAL NEUROSCIENCE INSTITUTE,N14,Data Only,Overseas,Germany
22436,Dr Adil Ali Turki Polyclinic,J. ONW,Polyclinic,Western,Jeddah
22646,Dahim Polyclinic,J. ONW,Polyclinic,Eastern,Hofuf
23240,Al Wazarat Area Clinic for Dentist,J. ONW,Dental,Central,Riyadh
22882,Al Zafer Hospital - Jeddah,L. NWS,Hospital,Western,Jeddah
20015,Al Hamra Hospital,B. NW1,Hospital,Western,Jeddah
20114,Madina National Hospital,C. NW2,Hospital,Western,Madinah
20199,Al Fereh Hospital,L. NWS,Hospital,Central,Bureidah
21690,Yanbu National Hospital,B. NW1,Hospital,Western,Yanbu Industrial
22029,Al Zahra General Hospital - Qatif,B. NW1,Hospital,Eastern,Qatif
22491,Al Abeer Medical Hospital Company Limited,L. NWS,Hospital,Central,Riyadh
22693,Ibn Sina College Hospital,L. NWS,Hospital,Western,Jeddah
22126,Al Nour Polyclinic,D. NW3,Polyclinic,Western,Badr
22293,Prince Sultan Humanitarian City,G. NW6,Hospital,Central,Riyadh
22628,Al Saher Modern Clinic - Hail,C. NW2,Polyclinic,Central,Hail
22848,Aram Medical Complex,H. NW7,Polyclinic,Central,Riyadh
22916,Al Hakim Polyclinic,A. NWR,Polyclinic,Central,Riyadh
23096,Al Mulhim Polyclinic,E. NW4,Polyclinic,Eastern,Al Hasa
23144,Dr Bassam Medical Center Co.,F. NW5,Dialysis Center,Central,Riyadh
20193,Salamat General Medical Complex,E. NW4,Polyclinic,Central,Hail
23267,University Hospital Aachen - Germany,N14,Data Only,Overseas,Germany
23268,Mayo Clinic - USA,N14,Data Only,Overseas,U.S.A
23270,Segal Dental Center 2,I. SPA,Dental,Central,Riyadh
23271,HERNIENZENTRUM DR. MUSCHAWECK - Germany,N14,Data Only,Overseas,Germany
21868,Samtah National Clinic,J. ONW,Clinic,Southern,Gizan
22668,Al Mana Medical Center - Jubail,F. NW5,Hospital,Eastern,Jubail
22514,Aban Opticals,L. NWS,Optical,Western,Jeddah
21778,International Medical Center,I. SPA,Hospital,Western,Jeddah
22772,Crazy Optical Co.,E. NW4,Optical,Central,Riyadh
22770,32 Dental,F. NW5,Dental,Central,Riyadh
22715,Ibn Hayan Opticals,L. NWS,Optical,Northern,Tabuk
22735,Al Farabi Dental and Orthodontic Complex - Al Sweedy,B. NW1,Dental,Central,Riyadh
22326,Al Andalus Dental Center - Madinah,L. NWS,Dental,Western,Madinah
22737,Al Farabi Dental and Orthodontic Complex - Al Uraija,L. NWS,Dental,Central,Riyadh
23196,Tutia Optical Company,F. NW5,Optical,Central,Riyadh
22739,Al Farabi Dental Center - Dhahrat Al Badiah,L. NWS,Dental,Central,Riyadh
22915,Al Farabi Dental and Orthodontic Complex - Exit 24,L. NWS,Dental,Central,Riyadh
22738,Al Farabi Dental and Orthodontic Complex - Tuwaiq,G. NW6,Dental,Central,Riyadh
21930,Al Borg Medical Laboratories,F. NW5,Laboratory,Western,Jeddah
22733,Al Farabi Dental and Dermatology Complex,G. NW6,Dental,Central,Riyadh
22734,Al Farabi Dental and Orthodontic Complex - Aqeeq,G. NW6,Dental,Central,Riyadh
22329,Al Nowras Dental Speciality Clinics,C. NW2,Dental,Western,Jeddah
22137,Al Radwan Dental Center,D. NW3,Dental,Central,Riyadh
22849,Al Safeer Medical For Dental Clinic Co.,F. NW5,Dental,Central,Riyadh
22747,Al Farabi Dental and Orthodontic Complex - Naseem,E. NW4,Dental,Central,Riyadh
22415,Cham Dental Center - Khobar,A. NWR,Dental,Eastern,Khobar
21737,GAMA Dental Clinic,H. NW7,Dental,Central,Riyadh
21759,Dr Abdul Aziz Al Ajaji Dental Polyclinic,F. NW5,Dental,Central,Riyadh
22512,Dr Rami Hassanine Clinics,F. NW5,Dental,Western,Jeddah
22876,Al Madina Hearing Aids Center,G. NW6,Hearing Aid,Central,Riyadh
22344,Ebtesamat Al Nojoom Medical Center,L. NWS,Dental,Western,Jeddah
22616,Family Dental Polyclinic,A. NWR,Dental,Eastern,Al Mubaraz
22745,Ebtsamatac Dental and Dermatology Center complex,G. NW6,Dental,Central,Riyadh
23136,Lolouat Al Aaj Dental Clinic,E. NW4,Dental,Central,Riyadh
22914,Al Farabi Dental and Orthodontic Complex - Al Diriaya,L. NWS,Dental,Central,Al Diriaya
22104,Miral Dental Center,H. NW7,Dental,Central,Riyadh
22724,Nahj Al Takwa Dental Dispensary,H. NW7,Dental,Central,Riyadh
22912,Al Farabi Dental and Orthodontic Complex - Azizia,L. NWS,Dental,Central,Riyadh
22913,Al Farabi Dental and Orthodontic Complex - Al Wady,L. NWS,Dental,Central,Riyadh
22618,Fahad Al Ajaji Clinics,A. NWR,Dental,Central,Bureidah
22214,Ozone Dental Clinic - Al Khobar,L. NWS,Dental,Eastern,Khobar
22330,Quality Dental Clinics,G. NW6,Dental,Western,Makkah
22624,Al Farabi Medical and Orthodontic Complex,E. NW4,Dental,Western,Madinah
22411,Al Farabi Dental and Orthodontic Complex - Badia Exit 28,E. NW4,Dental,Central,Riyadh
23056,Bright Smile Dental Clinics,C. NW2,Dental,Central,Baqaa
22245,Care Home Complex,C. NW2,Dental,Central,Riyadh
22288,New Zoom Optics,D. NW3,Optical,Western,Madinah
23154,Savvy Dental Care,H. NW7,Dental,Central,Riyadh
22393,Smile Dental Center,L. NWS,Dental,Eastern,Dammam
22723,Smile World Specialist Dental Center,H. NW7,Dental,Central,Riyadh
23047,Uranus Planet Dental Center,H. NW7,Dental,Central,Riyadh
22850,Almas Elite Medical Center,L. NWS,Dental,Central,Riyadh
22894,National Blood & Cancer Center,D. NW3,Cancer Center,Central,Riyadh
23277,Al Zahra PVT Hospital Dubai LLC,N14,Data Only,Overseas,Sharja
23278,All Med Arab Company,N14,Data Only,Overseas,Germany
22859,Al Madar Diamond Co.,L. NWS,Dental,Eastern,Al Hasa
22843,The European Medical Center a?? King Road,F. NW5,Polyclinic,Western,Jeddah
22822,Your Eyes Optical,F. NW5,Optical,Central,Riyadh
23085,Al Azhar Medical Polyclinic - Sabt Al Alaya,B. NW1,Polyclinic,Southern,Sabt Al Alaya
23190,Creative Medical Specialized Center,F. NW5,Dental,Eastern,Dammam
23281,Taleen Dental Center,E. NW4,Dental,Central,Riyadh
23282,Bupa Global - GOSH,N14,Data Only,Overseas,London
23283,University Medical Center - Bahrain (Ex Dr Suliman Al Habib - Bahrain,H. NW7,Hospital,Overseas,Manama
21851,Dr Nihad M S Islam Day Surgeries and Polyclinics,J. ONW,Polyclinic,Western,Jeddah
22198,Sehat Al Umam Al Takhasusi Medical Center,J. ONW,Clinic,Central,Riyadh
20283,Dammam Scan Center,F. NW5,Radiology,Eastern,Dammam
20398,Al Bati Dispensary,L. NWS,Polyclinic,Eastern,Qatif
21769,Dr Hamid S Al Ahmadi Hospital,L. NWS,Hospital,Western,Madinah
22010,Danat Al Sahraa Medical Company,L. NWS,Polyclinic,Eastern,Jubail
22056,Al Bashawri Optical - Jeddah,L. NWS,Optical,Western,Jeddah
23288,BiBL Andy Schulze,N14,Data Only,Overseas,Germany
23289,SPA - Al Bayt Medical Center - Medical Refill,I. SPA,Group practice,Western,Makkah
23291,Bin Rushd Medical Center - 2,B. NW1,Eye Center,Central,Riyadh
22766,Wahat Al Tashafi Polyclinic,J. ONW,Polyclinic,Central,Riyadh
22793,Baashan Medical Dispensary,J. ONW,Clinic,Southern,Sabya
22174,Al Noor Polyclinic - Jeddah,J. ONW,Polyclinic,Western,Jeddah
22139,Nafea Dental Clinic (ex Dr Majdy Mohammed Nafie Dental Clinics),J. ONW,Dental,Western,Makkah
22571,Dr Saud Naqshapandy Dental Clinic 2,J. ONW,Dental,Central,Riyadh
22720,Photon Radiology Center,J. ONW,Radiology,Central,Riyadh
23090,Nahj Al Haya Dental Complex,J. ONW,Dental,Southern,Najran
22773,Consultative Mawyah Corner Polyclinic,J. ONW,Polyclinic,Central,Riyadh
22336,Dr Zahir And Dr Souad Clinics,J. ONW,Clinic,Western,Makkah
23296,UNIVERSITY OF MICHIGAN - USA,N14,Data Only,Overseas,U.S.A
21010,Dr Munir Harasani Dental Clinic,E. NW4,Dental,Western,Jeddah
22607,Dr Samia Felemban Dental And Medical Polyclinic - KM,J. ONW,Dental,Southern,Khamis Mushayt
23298,Hakeem Oyoun Optics Group,E. NW4,Optical,Central,Riyadh
23302,Ram Dental Hospital,H. NW7,Dental,Overseas,Manama
23304,AMERICAN HOSPITAL OF PARIS,N14,Data Only,Overseas,France
22413,My Care Medical Polyclinic - Khamis Mushayt,J. ONW,Polyclinic,Southern,Khamis Mushayt
22664,Telescope Optical,J. ONW,Optical,Western,Madinah
22280,Al Nawajes Complex Dental,J. ONW,Dental,Southern,Khamis Mushayt
20247,Al Zafer Hospital - Najran,F. NW5,Hospital,Southern,Najran
23312,International Extended Care Center,I. SPA,Long Term Care,Western,Jeddah
20299,Al Rayan Polyclinic (Ex. Al Riyyan National Clinic),J. ONW,Clinic,Central,Riyadh
22306,Dr Adnan Ibrahim Ghulam Medical Complex,J. ONW,Clinic,Western,Jeddah
22312,Badr Al Samah Polyclinic - Jeddah,J. ONW,Polyclinic,Western,Jeddah
23319,HHC - Royal Commission Medical Center - Yanbu,I. SPA,Home Healthcare,Western,Yanbu
23033,Al Fairoz For Dental Center,C. NW2,Dental,Southern,Najran
23093,Al Amal Polyclinic - Umluj,J. ONW,Polyclinic,Northern,Tabuk
22721,Al Salman Opticals,B. NW1,Optical,Central,Riyadh
22631,Eskan Polyclinic,J. ONW,Polyclinic,Western,Jeddah
23177,Al Saqr Dental Clinic - Namerah,J. ONW,Dental,Southern,Ghonfodah
21842,Ebtesamat Al Nojom Clinics,G. NW6,Dental,Western,Jeddah
23327,GlobeMed - Lebanon,I. SPA,Group practice,Overseas,Beirut
23328,Mediclinic Al Qusais,H. NW7,Polyclinic,Overseas,"Dubai, UAE"
23329,Mediclinic Arabian Ranches,H. NW7,Polyclinic,Overseas,"Dubai, UAE"
23330,Mediclinic Beach Road,H. NW7,Polyclinic,Overseas,"Dubai, UAE"
23331,Mediclinic Dubai Mall,H. NW7,Polyclinic,Overseas,"Dubai, UAE"
23332,Mediclinic Ibn Battuta,H. NW7,Polyclinic,Overseas,"Dubai, UAE"
23333,Mediclinic Meadows,H. NW7,Polyclinic,Overseas,"Dubai, UAE"
20550,American Mission Hospital,I. SPA,Hospital,Overseas,Manama
22070,Dr Abdullah Al Mozher Dental Clinic,J. ONW,Dental,Eastern,Dammam
23092,White Mass Dental Clinic,J. ONW,Dental,Eastern,Khobar
22718,Adwa Al Elaj Complex 2,J. ONW,Dental,Central,Riyadh
20430,Al Kessaey Clinic,J. ONW,Clinic,Central,Riyadh
22606,The Elite Medical Complex 2,J. ONW,Clinic,Western,Makkah
23118,Dr Abdullah Al Mozher Dental Clinic - Khamis Mushayt 1,J. ONW,Dental,Southern,Khamis Mushayt
23119,Dr Abdullah Al Mozher Dental Clinic - Khamis Mushayt 2,J. ONW,Dental,Southern,Khamis Mushayt
23120,Dr Abdullah Al Mozher Dental Clinic - Abha,J. ONW,Dental,Southern,Khamis Mushayt
20055,Health and Life Dispensary,N15,Polyclinic,Eastern,Dammam
20215,Hagar Dispensary - Hofuf,N15,Polyclinic,Eastern,Hofuf
20285,Aziz Medical Dispensary - Hofuf,N15,Polyclinic,Eastern,Hofuf
20435,Jubail Medicare Complex,N15,Polyclinic,Eastern,Jubail
21694,Badr Al-Rabie Dispensary,N15,Polyclinic,Eastern,Dammam
21696,Shifa Al Khobar Company Ltd.,N15,Polyclinic,Eastern,Khobar
22193,Dina Medical Complex,N15,Polyclinic,Eastern,Jubail
22230,Safa Dammam Dispensary,N15,Polyclinic,Eastern,Dammam
22341,Al Tarf Charity Dispensary (Al Ahsa),N15,Polyclinic,Eastern,Al Hasa
22390,Badr Al Jazeera Polyclinic,N15,Polyclinic,Eastern,Qatif
22419,Al Taqwa Medical Complex,N15,Polyclinic,Eastern,Dammam
22425,Zam Zam Medical Complex,N15,Polyclinic,Eastern,Al Hasa
22433,Al Naim Polyclinic,N15,Polyclinic,Eastern,Al Hasa
23037,Shifa Dammam Dispensary,N15,Polyclinic,Eastern,Dammam
22389,Noon Medical Center,N15,Polyclinic,Central,Riyadh
22925,Al Shefa Medical Clinic - Afif,N15,Polyclinic,Central,Afif
20266,Omar Al Ajaji Medical Complex,N15,Polyclinic,Central,Riyadh
22546,Olaya Polyclinic Center Complex,N15,Polyclinic,Central,Riyadh
23016,Fares Al Jazeera Polyclinic,N15,Polyclinic,Central,Riyadh
22713,Al Khazan Medical Clinics 2,N15,Polyclinic,Central,Riyadh
22519,Al Nozha Medical Center,N15,Polyclinic,Central,Riyadh
23156,Al Nazeem National Polyclinic,N15,Polyclinic,Central,Riyadh
20022,Al Khaledia Medical Complex,N15,Polyclinic,Central,Riyadh
20183,Factories Polyclinic,N15,Polyclinic,Central,Riyadh
20751,Al Habib Medical Clinic - Majmaah,N15,Polyclinic,Central,Al Majmaa
21180,Safa Makkah Polyclinic,N15,Polyclinic,Central,Riyadh
21832,Badruddin Polyclinic - Batha'a,N15,Polyclinic,Central,Riyadh
21881,Al Faiha Medical Center - Bureidah,N15,Polyclinic,Central,Bureidah
21918,Adwaa Al Alami Polyclinic,N15,Polyclinic,Central,Riyadh
21936,Olaya International Polyclinic,N15,Polyclinic,Central,Riyadh
21967,Al Faiha Medical Center - Riyadh,N15,Polyclinic,Central,Riyadh
21993,Adwaa Al Alami Medical Complex,N15,Polyclinic,Central,Riyadh
21995,Al Barakat Optical,N15,Optical,Central,Riyadh
22007,Al Kamal Medical Clinic,N15,Polyclinic,Central,Al Aflaj
21911,Al Zafer Polyclinic - Al Sulaymania,A. NWR,Polyclinic,Western,Jeddah
22118,Al Badri Polyclinic,A. NWR,Polyclinic,Central,Riyadh
22181,Jwel Clinics - Riyadh,C. NW2,Polyclinic,Central,Riyadh
22200,Lotus Medical Center,A. NWR,Polyclinic,Central,Riyadh
23126,Pulse Care Polyclinic,H. NW7,Polyclinic,Eastern,Al Kaysoumah
21985,Halah Essa Bin Laden Hospital,A. NWR,Hospital,Western,Jeddah
22315,Al Qasseem National Hospital - Bureidah,D. NW3,Hospital,Central,Bureidah
23222,Al Saif Medical Center,C. NW2,Polyclinic,Eastern,Dammam
22353,Right Treatment Medical Center,F. NW5,Polyclinic,Central,Riyadh
21990,Muhammed S. Basharahil Hospital,C. NW2,Hospital,Western,Makkah
22367,Rawdat Al Aqsa Polyclinic,C. NW2,Polyclinic,Central,Riyadh
23334,Darkov Rehabilitation Center,H. NW7,Physiotherapy Center,Eastern,Sayhat
23352,Clinic 9 Medical Center,C. NW2,Polyclinic,Eastern,Dammam
23448,Al Maali Hospital,D. NW3,Hospital,Eastern,Hafr Al Batin
22524,Abu Zeed Polyclinic,C. NW2,Polyclinic,Central,Al Dawadmi
22077,Al Bayt Medical Center,A. NWR,Polyclinic,Western,Makkah
23457,Your Healthcare Medical Polyclinic,E. NW4,Polyclinic,Western,Ranyah
22629,Rayan Al Sharq Clinic - Hail,E. NW4,Polyclinic,Central,Hail
22636,Al Lewaa Medical Polyclinic,H. NW7,Polyclinic,Central,Baqaa
22221,Asfan Polyclinic,A. NWR,Polyclinic,Western,Asfan
22223,Al Bishri Medical Complex - Rabigh,L. NWS,Polyclinic,Western,Rabigh
22725,Al Thowini Medical Center,C. NW2,Polyclinic,Central,Riyadh
22224,Al Bishri Medical Complex - Kholeis,L. NWS,Polyclinic,Western,Kholeis
22736,Al Farabi Medical Complex - Al Uraija,C. NW2,Polyclinic,Central,Riyadh
22263,Riadah Polyclinic,L. NWS,Polyclinic,Western,Jeddah
22881,Al Aqeeq Medical Center,C. NW2,Polyclinic,Western,Madinah
22304,Dr Talal Kutub Medical Center,C. NW2,Polyclinic,Western,Jeddah
22763,ENT Medical Center,H. NW7,ENT Center,Central,Riyadh
23075,Roaa Al Mustagbal,A. NWR,Polyclinic,Southern,Sarat Obaidah
22378,Al Mawj Polyclinics,A. NWR,Polyclinic,Western,Jeddah
22398,Al Amal National Clinic - Ahad Al Masarha,E. NW4,Polyclinic,Southern,Ahad Al Masarha
23087,Al Zubaidi General Medical Complex - Baljurashi,G. NW6,Polyclinic,Southern,Baljurashi
23140,Al Emeis Hospital,B. NW1,Hospital,Southern,Gizan
22578,Amass Medical Polyclinic - Arar,A. NWR,Polyclinic,Northern,Arar
22857,Nabdh Al Wateen Polyclinic - Al Zulfi,D. NW3,Polyclinic,Central,Al Zulfi
23180,Al Nomais Medical Complex - Khamis Mushayt,D. NW3,Polyclinic,Southern,Khamis Mushayt
22875,Al Tayyar Polyclinic,L. NWS,Polyclinic,Central,Al Quwaiyah
23233,Al Nomais Medical Complex - Khamis Mushait- Bin Hasball Valley,E. NW4,Polyclinic,Southern,Khamis Mushayt
22635,Rafha Medical Center,D. NW3,Polyclinic,Northern,Rafha'a
22877,Cmai Medical Center,C. NW2,Polyclinic,Central,Riyadh
23297,Bateel Medical Complex,E. NW4,Polyclinic,Western,Rabigh
22955,Jarir Medical Company,B. NW1,Polyclinic,Central,Riyadh
23305,Salamaty Medical Complex,D. NW3,Polyclinic,Northern,Arar
22844,Al Themal Medical Group - Abha,D. NW3,Polyclinic,Southern,Abha
23416,Specialized Najran Medical Hospital,D. NW3,Hospital,Southern,Najran
23083,Dawna Medical Center,A. NWR,Polyclinic,Central,Al Badaya'a
22962,Al Genah Medical Center - Al Rass,C. NW2,Polyclinic,Central,Ar Russ
23189,Shifa Al Shamly Polyclinic,B. NW1,Polyclinic,Central,Al Shamly
23197,Family Service Polyclinic,A. NWR,Polyclinic,Central,Riyadh
23217,Al Taawin Clinic 2,B. NW1,Polyclinic,Central,Al Kharj
23218,Al Taawin Clinic 3,B. NW1,Polyclinic,Central,Al Kharj
23219,Health Services & Medical Recruitment Company,H. NW7,Polyclinic,Central,Riyadh
21740,Al Nahda Hospital,C. NW2,Hospital,Western,Taif
23609,Tabib Al Hayat Medical ( 2 ),J. ONW,Polyclinic,Central,Al Kharj
23608,Complex Tabib Al Hayat Medical (1),J. ONW,Polyclinic,Central,Al Kharj
23703,Prime Clinics,H. NW7,Polyclinic,Overseas,Cairo
23706,Klinikum Schwabing  - Germany.,N14,Data Only,Overseas,Germany
23553,Genome Medical Center,J. ONW,Dental,Central,Riyadh
23480,Riyadh Regional laboratory - MoH,J. ONW,Laboratory,Central,Riyadh
23635,Specialized Dental Center - (MOH),J. ONW,Dental,Central,Hail
23660,Al Muzahmiya General Hospital - (MOH),J. ONW,Hospital,Central,Al Muzahmiya
23661,Sajer General Hospital - (MOH),J. ONW,Hospital,Central,Sajer
